
2024/07/09 (20:05:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (20:05:06) | DEBUG: Shared::init() : Initialized.
2024/07/09 (20:08:38) | DEBUG: Writing new config file
2024/07/09 (20:08:38) | INFO: Quitting! Runtime: 00:03:33

2024/07/10 (14:46:31) | ===> btop++ v.1.3.2
2024/07/10 (14:46:31) | INFO: Logger set to DEBUG
2024/07/10 (14:46:31) | DEBUG: Using locale en_US.UTF-8
2024/07/10 (14:46:31) | INFO: Running on /dev/pts/0
2024/07/10 (14:46:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/10 (14:46:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/10 (14:46:31) | DEBUG: Shared::init() : Initialized.
2024/07/10 (14:47:39) | INFO: Quitting! Runtime: 00:01:08

2024/07/10 (16:49:00) | ===> btop++ v.1.3.2
2024/07/10 (16:49:00) | INFO: Logger set to DEBUG
2024/07/10 (16:49:00) | DEBUG: Using locale en_US.UTF-8
2024/07/10 (16:49:00) | INFO: Running on /dev/pts/0
2024/07/10 (16:49:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/10 (16:49:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/10 (16:49:00) | DEBUG: Shared::init() : Initialized.
2024/07/10 (16:49:32) | DEBUG: Writing new config file
2024/07/10 (16:49:32) | INFO: Quitting! Runtime: 00:00:32

2024/07/11 (14:00:37) | ===> btop++ v.1.3.2
2024/07/11 (14:00:37) | INFO: Logger set to DEBUG
2024/07/11 (14:00:37) | DEBUG: Using locale en_US.UTF-8
2024/07/11 (14:00:37) | INFO: Running on /dev/pts/0
